GeneID,Ensembl_ID,CPM_TUMOR,CPM_SPLEEN
HSBP1,ENSG00000230989,164.2402284,151.2853591
LINC00852,ENSG00000231177,0.605680007,2.114822793
MICA,ENSG00000231225,10.90224012,13.89740693
AGER,ENSG00000231268,2.826506697,10.12093765
TBL1XR1-AS1,ENSG00000231310,4.94638672,0.302117542
LY6G5C,ENSG00000231325,13.12306681,15.33246525
LINC01816,ENSG00000231327,2.725560029,2.039293407
PRRC2A,ENSG00000231370,109.6280812,139.2006574
FAM27C,ENSG00000231527,0.201893336,1.812705251
LINC00278,ENSG00000231535,4.744493385,11.32940782
DLEU2,ENSG00000231607,85.70372092,75.60491485
LINC01891,ENSG00000231682,1.211360013,3.625410502
TMSB15B-AS1,ENSG00000231728,1.917986687,2.870116648
TMEM44-AS1,ENSG00000231770,11.30602679,11.4049372
PIK3CD-AS2,ENSG00000231789,1.716093352,0.755293855
MDC1-AS1,ENSG00000231860,1.413253349,2.870116648
IPO9-AS1,ENSG00000231871,2.523666694,1.737175866
TRAF3IP2-AS1,ENSG00000231889,6.157746733,6.419997764
IDH1-AS1,ENSG00000231908,2.927453365,1.66164648
LRRC8C-DT,ENSG00000231999,4.643546717,6.571056535
TMA7,ENSG00000232112,1046.917891,1143.590425
MCTS1,ENSG00000232119,90.14537431,79.30585474
FAM215B,ENSG00000232300,6.258693401,11.63152536
AJM1,ENSG00000232434,11.81076013,15.18140648
MHENCR,ENSG00000232442,13.42590681,36.63175195
GABBR1,ENSG00000232569,3.1293467,7.250821004
KANTR,ENSG00000232593,2.927453365,7.175291619
LINC01431,ENSG00000232645,2.624613362,2.945646033
HSPA1B,ENSG00000232804,32.10104035,189.1255812
PET117,ENSG00000232838,16.05052017,16.76752357
LYRM9,ENSG00000232859,4.94638672,5.060468826
LINC00342,ENSG00000232931,9.287093434,16.54093542
SNHG15,ENSG00000232956,179.7860153,48.86751239
HLA-DOA,ENSG00000232957,3.331240036,1.737175866
SNHG7,ENSG00000233016,105.2873745,124.6990154
TRGV2,ENSG00000233306,9.388040101,41.69222078
PPP1R11,ENSG00000233314,86.30940093,111.4058436
CHRM3-AS2,ENSG00000233355,19.07892021,41.23904446
HOTAIRM1,ENSG00000233429,9.388040101,9.667761339
KIFC1,ENSG00000233450,117.7038146,84.44185295
STXBP5-AS1,ENSG00000233452,0.706626674,2.719057877
GPSM3,ENSG00000233490,467.282125,634.5223673
TCF19,ENSG00000233890,46.43546717,36.78281072
RPS28,ENSG00000233927,3434.811317,3773.599156
UQCRHL,ENSG00000233954,2.624613362,1.359528938
MDC1,ENSG00000234012,23.31868025,30.06069541
ZNF736,ENSG00000234444,7.772893417,10.95176089
PINLYP,ENSG00000234465,3.331240036,2.945646033
FAM133B,ENSG00000234545,79.34408086,76.96444379
ATAT1,ENSG00000234549,10.59940011,6.948703463
MAPKAPK5-AS1,ENSG00000234608,45.93073383,51.58657027
JRK,ENSG00000234616,8.580466759,13.44423061
MED14OS,ENSG00000234636,2.220826691,1.132940782
LINC01934,ENSG00000234663,20.99690689,25.22681474
SDCBP2-AS1,ENSG00000234684,7.470053414,7.779526703
SLC25A25-AS1,ENSG00000234771,1.211360013,2.870116648
HNRNPUL2-BSCL2,ENSG00000234857,29.77926699,43.35386726
MIR155HG,ENSG00000234883,122.751148,40.71033876
LINC02539,ENSG00000234956,11.70981346,0.453176313
IER3,ENSG00000235030,49.36292053,12.31128983
BRD3OS,ENSG00000235106,11.50792012,12.83999553
B3GALT4,ENSG00000235155,30.88968033,44.26021988
PPP1R3E,ENSG00000235194,6.864373407,12.83999553
LINC01281,ENSG00000235304,27.96222697,2.190352178
BRD2,ENSG00000235307,186.3475487,236.709094
SMIM27,ENSG00000235453,39.36920042,46.52610145
TAB3-AS2,ENSG00000235512,1.81704002,0.528705698
HIPK1-AS1,ENSG00000235527,1.716093352,2.190352178
MSC-AS1,ENSG00000235531,6.561533404,9.441173183
LINC01871,ENSG00000235576,168.2780951,338.3716469
LINC00484,ENSG00000235641,2.725560029,2.416940335
KIAA0040,ENSG00000235750,37.65310707,91.39055641
OLMALINC,ENSG00000235823,1.413253349,1.208470167
BHLHE40-AS1,ENSG00000235831,29.57737365,12.9910543
TM4SF19-AS1,ENSG00000235897,0.302840003,3.474351731
ASH1L-AS1,ENSG00000235919,4.94638672,11.02729028
